quizzes,solutions
507108002000043100900500006070050004100002069600700380320490000001006400009070528,537168942286943157914527836873659214145832769692714385328495671751286493469371528
807000000610005430400690000002800709003007820900051046000009670054000000200403018,827314965619785432435692187142836759563947821978251346381529674754168293296473518
040000200710930000058020760300060000406800920020705800031070090007058601500100007,643587219712936458958421763385269174476813925129745836831674592297358641564192387
002834700010060005798200400903050100000009007080072060600081024051000300040000090,562834719314967285798215436973658142126349857485172963639781524251496378847523691
431800006000300010000006205609134070020000040000570089003659020500080104807000003,431825796256397418978416235689134572725968341314572689143659827592783164867241953
020000106610239040050004007003520009009400080800701400795006002200180000400000653,324857196617239548958614327143528769579463281862791435795346812236185974481972653
003000150620700009051000007180670003509003400030080201000207904000098620004510008,743869152628751349951342867182674593579123486436985271865237914317498625294516738
400053270020600803008904010145200006000048300000001090601300450000070900780000060,416853279529617843378924615145239786967548321832761594691382457254176938783495162
004030009520001300019860200402000700037006800608510020900080070073002046000000130,784235619526971384319864257452398761137426895698517423941683572873152946265749138
023000061000068007000304058058006120007090080140000509000430000064085930001072000,823957461415268397679314258958746123237591684146823579582439716764185932391672845
031020060005074003006800020700406038000095706200780901098140000500000890300000002,831529467925674183476831529759416238183295746264783951698142375512367894347958612
015040002020560098300010007200000600940001000030680704458000000090872050600430900,815947362724563198369218547287354619946721835531689724458196273193872456672435981
604302001780006300900510400003004078028000096000601004090057800000020015000403700,654372981781946352932518467163294578428735196579681234296157843347829615815463729
000048010943050700008200006050000379002400080070013040600590002109087500530060000,265748913943651728718239456451826379392475681876913245687594132129387564534162897
900003050246050700070680100000008039501200800700006001809420006002010078030000240,918743652246951783375682194624178539591234867783596421859427316462315978137869245
002078000006015908905000100400709500030054070000061204000020306008000009710800450,142978635376415928985632147421789563639254871857361294594127386268543719713896452
043020000050180070890506100400009706031000059000871000070005460002043501000600320,143927685256184973897536142428359716731462859965871234379215468682743591514698327
206597403080103000507000009000004210028006500409010060700305000001200000300480902,216597483984123756537648129673954218128736594459812367792365841841279635365481972
270600050000070406006059030040005600081000040029006173390000002000097800807140005,278634951935271486416859237743915628681723549529486173394568712152397864867142395
010907030002100004958002000600030002073060580000705069080000406304000105009210800,416957238732186954958342617695831742273469581841725369187593426324678195569214873
290041000470302050000060208039400005100000070504100603613200704000003080005900100,298541367476382951351769248739426815162835479584197623613258794947613582825974136
080623090400007000900000713006910400805000026014500007030708000500000009021460085,187623594453197862962845713376912458895374126214586937639758241548231679721469385
000050007050004020020160430941000000008746000000300508400000209705080300219030076,194253687356874921827169435941528763538746192672391548483617259765982314219435876
000457602940061300070000080100509400700086930020003007400010059006000800218300700,381457692942861375675932184163579428754286931829143567437618259596724813218395746
000720041003051890070000000730200160004109305205080009800000006090007200560904003,958723641423651897176498532739245168684179325215386479847532916391867254562914783
000230050673400800005007900310780000064009200082546009008000103000801700000600405,941238657673495821825167934319782546564319278782546319258974163436851792197623485
980046025000090700700300004008023010045070008000105006014800900506000307090002600,983746125451298763762351894678423519145679238239185476314867952526914387897532641
200000001003060008807031940002506070409800056100000380038670500705090263000004000,294785631513469728867231945382516479479823156156947382938672514745198263621354897
004206050070000306000075120002608710890000040047090000000000590056002000009307208,184236957275419386963875124532648719891723645647591832728164593356982471419357268
090604025000500904503700100002059001010000000006008437080003600400020000700000058,197684325628531974543792186372459861814367592956218437285173649469825713731946258
000750600061980004400000720259006000803000010000820075090208000010060490007340058,932754681761982534485631729259176843873495216146823975594218367318567492627349158
600000045200009803089007000001402309790300050000050080076030400520000700004086012,617823945245619873389547621851472369792368154463951287176235498528194736934786512
020980040030047601019006080700490000800023907000605000904800006001000300350014020,627981543538247691419356782763498215845123967192675438974832156281569374356714829
008060700030870012000205930000700504905004000802903070106000080009120360700000250,298361745534879612617245938361782594975614823842953176126537489459128367783496251
600300000502809070013050002700240085004007126009508000305000400170400003008090607,687321549542869371913754862731246985854937126269518734395672418176485293428193657
610030004005008703040906020009200400000403680002015070700001500003680200090070031,618732954925148763347956128839267415571493682462815379784321596153689247296574831
002080500058370100700006039005902700000000264030410000087201605901040080000090020,392184576658379142714526839845962713179853264236417958487231695921645387563798421
006037508700010900130050020002908000050020430600000090200005704003100060498600000,926437518785216943134859627342968175859721436617543892261395784573184269498672351
000602108000000009080001400030000000910800600400325010000000000000040050005000204,354692178721483569689751423537169842912874635468325917243518796896247351175936284
300709000720560019000000000000010200810000000000305000608100000050080071000203500,381729654724568319596431827937814265815692743462375198648157932253986471179243586
300000000000009006009610400000000084000043017000000900700068003008001000105900800,346827591851439276279615438567192384982543617413786925794268153628351749135974862
005800004600100300001009806000905010000004700074000009007013900010000600000460000,725836194698142375341759826836975412159624783274381569567213948412598637983467251
600740000020000000780020150810070020000010003000000700000000000040001260376280004,651749382923158476784623159819374625467512893235896741192467538548931267376285914
000103500000050010000970020009000760058000900060200100002700000000039000005001378,284163597697852413531974826129385764758416932463297185312748659876539241945621378
000001000600003000009400006070098000400376000000000050000700804801034070900800160,735961248614283795289457316176598432452376981398142657563719824821634579947825163
000036090008000000000091800035100000064000520809040010000009054040680000000450060,417836295698524371253791846735162489164978523829345617386219754541687932972453168
007009000560000100304000000040000950070000000600001003000400009750600004008930701,817529346562348197394176285241763958973854612685291473136487529759612834428935761
002009008900014000040800050005000000090002700700090014000000009500000006000107002,312759648958614327647823951265471893194382765783596214876245139521938476439167582
000051009640000000001004670170000005408090000056000020000200107017000054005000090,732651849649872531581934672173426985428593716956718423394285167817369254265147398
080004200040500090350069080090032040020405030000000000000000000009000067030890000,986314275741528396352769481195632748628475139473981652864157923519243867237896514
041000750800090003007000001408000000020000009710030000000009200100043508080027030,941382756856791423237465981498216375623578149715934862364859217172643598589127634
000964000060008000900300000000001870490000000870036109600805937000010000004600001,123964758567128493948357612236591874491782365875436129612845937789213546354679281
108003090000000046007050100000000000040570009010090004005000060000810000800035007,168423795953187246427956138789364512342571689516298374235749861674812953891635427
010004050037001000400300901900000070000400005200090300000102587000030000000000204,619284753537961428428357961964513872873426195251798346396142587742835619185679234
601000700840097050059000003000000060000145009000030000005000001004010600000360400,621453798843297156759681243517928364236145879498736512365874921984512637172369485
000008000700015000943000008000001807020000100005020039100072000008300000070000090,561438972782915346943267518439651827627893154815724639196572483258349761374186295
300004170040009002700002800008001720030800060670020410000000000900030040100000000,392684175845719632716352894458961723231847569679523418523476981987135246164298357
300502840002006001006300000000000000601000009000200050060000005400031908000008463,397512846542896371186347592924185637651473289738269154863924715475631928219758463
140370000300506000000042000700000480050027103430080060000003000000000700206054300,145379826382516974967842531729631485658427193431985267874193652513268749296754318
000005600000000057090740000000400100000908000400107028270000490000000806800006010,327815649148629357695743281589462173712938564463157928276381495951274836834596712
000000300004006017600030804700904506059600080300000970080040050007000003000001000,892417365534896217671235894718924536259673481346158972183742659467589123925361748
700200006809406200204000005350690000000300070090004000000000900000000048002008060,715283496839456217264179385351697824428315679697824153586741932173962548942538761
050009040000000000009047003000000000000090016000030079100004060067000450200370090,653829741724163985819547623971682534432795816586431279198254367367918452245376198
000008007001740000000090108007000920003001000090006080900080000000000039060310200,429168357851743692376592148647835921283971465195426783934287516712654839568319274
790501042010086090008007600004100708000000000020004061079000000100000020000000405,796531842213486597548297613954162738681973254327854961479325186165748329832619475
670500000005007008400060030000054006050730090000800004007003105006000003000900000,673528419915347628428169537139254786854736291762891354297683145586412973341975862
006900700120008400800002005000095010060800009010006000000000500700040000900000820,356914782127538496894762135278395614463871259519426378632189547785243961941657823
052300001008040930060900800000412000000000000104608092000000000000003080006100400,952386741718245936463971825639412578825739164174658392597864213241593687386127459
000089000000300000008000023043800270080060031901700006000237000037040080000000000,326489715475312698198675423643851279782964531951723846869237154537146982214598367
600820010032019050005030900001000030069000080000080000000001000076002100020000067,697825314432719856815436972281964735769253481543187629958671243376542198124398567
070000400600532000500000008100200670407000000002804000000000803801600200020000040,273981465684532719519467328138259674457316982962874531746125893891643257325798146
000000000320060015054000300601508000030001480000002000500000000046000007000200806,169835274328764915754129368691548732235671489487392651572486193846913527913257846
000000060940100070013600000604903000000050000700400002000290037002030419000000200,257349168946128375813675924624983751198752643735461892481296537562837419379514286
695000002020050000000080030004000806000000000010890045400500000000006100050010094,695173482823954761147682539974325816538461927216897345461539278789246153352718694
000100040080700300003005000037260005106508030800300010000000604000042100000800000,562139748984726351713485962437261895126598437895374216271953684358642179649817523
105070040000030006403680000007000010050207000000000032000000500721000000004060008,165972843872134956493685127247398615356217489918546732689423571721859364534761298
000000001060000053003007400200000000708000602046300870000000000800430020070052168,587643291461289753923517486239768514758194632146325879692871345815436927374952168
034000006702040950600200300090030000503490000000000000007000005040970103060002070,834519726712643958659287341498736512523491687176825439387164295245978163961352874
200074003740020609005000000000010400004203000001600000000030002307090010006701000,269874153743125689185369247632918475874253961591647328418536792357492816926781534
010608007000400003000000000000030000060001302002904068008072096030000000040009000,413698527895427613726513984581236749964781352372954168158372496639845271247169835
083040900000000300400830601900082007860100000027000460000300010000000700001009000,683241975512796384479835621934682157865174293127953468248367519396518742751429836
000000007000000080073009520780000003002040090000037040000003078000825009030006200,849251367526374981173689524784962153352148796961537842295413678617825439438796215
000000000600000803003540010020000905000050000000001062860000400030080009490030506,719368254654712893283549617321876945946253178578491362867925431135684729492137586
008000010901070243030009070300000000080020090000004700102080000007205400000090000,478362519961578243235149876319857624784621395526934781152483967697215438843796152
100900520000060000028500100079000000581000070600000080907600000010050000004082000,136978524495261738728534196279845613581326479643197285957613842812459367364782951
000000000706100008140070300000000000807300201030901080004000006900700003002408970,583246719726193458149875362291687534867354291435921687374519826958762143612438975
750000980000000020900000004060009450000000001040008006005004000490260100000870200,751642983634981527982357614863719452527436891149528736275194368498263175316875249
700000008096000004203089007900600000034850090008092400350400689460000000000000000,715246938896735124243189567921674853634851792578392416352417689469528371187963245
041000020000000139000000000093470000400032000027980010009720000000008960100000308,941853627875264139236197854593471286418632795627985413389726541754318962162549378
000050000000020175900000000070001009001004000800030200030400080080070530509080002,213756498468329175957148623375261849621894357894537261732415986186972534549683712
000005704700008301000010006370400000208603000000070000010000020050386400000000000,861235794724968351539714286375491862248653179196872543613547928952386417487129635
500300700701205634400000005000700000000802000020016070067580010000673000000000800,596348721781295634432167985158739246674852193923416578267584319819673452345921867
200000570065000000049200030000000001002000097000700000000501600003060000094002105,281639574365847912749215836478953261532186497916724358827591643153468729694372185
000001002630240000090000040008000009009076030470800020060030000000019078000000000,784961352631245987295387146358124769129576834476893521962738415543619278817452693
070000402006409003002506000058000600600000070000090005720063000000005800000000047,579381462186429753342576981258137694693254178417698235724863519931745826865912347
030002046000000000905000800000090370000407000000620008000070050000230007290050600,731982546428365719965741823612598374389417265574623198843176952156239487297854631
006900000070006904904000510000005000500304007300180000000750000000001030060090050,156942378873516924924837516618275493592364187347189265239758641485621739761493852
000080050000000786000706403000100600081007000435008100000000007003000520702001830,176384259349512786258796413927135648681247395435968172514823967863479521792651834
000508076005170030000000004010000400000005000070030060800054009007600000604800700,123548976945176832786392514519267483362485197478931265831754629257619348694823751
000018600053002000400700208000060002000200510006000030000140000000000004002306105,279418653853692741461753298534961872798234516126587439685149327317825964942376185
307000005050940600000000000000000000930706000561020400003090000070010296000004310,397268145158947632246135879782451963934786521561329487813692754475813296629574318
000005020400000100000030087000004302000806075005000000306008000070310000000060403,831975624457682139962431587689754312143826975725193846396248751574319268218567493
030060000050000170809000000010600000005000600097051200000000005002007306003025790,731569482456283179829714563318642957245978631697351248974136825582497316163825794
000004010000008640000000302307080050600070000810430207000000701080103065000000080,276394518153728649498615372347982156629571834815436297534869721782143965961257483
390000000005180700004003920040207000000000290020304010401000000580400000079000000,397542168265189743814763925148297356753618294926354817431976582582431679679825431
000006039098000005000200000060050004003007806000004070800003000900500000270040008,152876439698431725347295681769358214423917856581624973814763592936582147275149368
200001003000000420090080700005300094010050000007000200030008900900007810000100007,276941583158763429493285761825376194619452378347819256731628945964537812582194637
000000670001000000000000540005000480000007200804002030057084310040075008380106000,438259671571463892692718543725631489913847265864592137257984316146375928389126754
000000003010020500050619000000001002360000100000000009870000600006087925205106700,629875413718324596453619287987541362362798154541263879874952631136487925295136748
010030000004700290709402053000000000930600000002004000000050700006300010025000400,218935674354786291769412853641573928937628145582194367493251786876349512125867439
600300054001000708007905000000004500300010000000006400050008017003460000800000000,698371254531642798247985163769824531384519672125736489456298317913467825872153946
500000040030078020000030000400002070020000500000905004890020007053004608004000030,581269743639478125742531896415682379928347561367915284896123457253794618174856932
018003007960700020000008600007000000090005006605009210000020051000086000000000900,518263497963754128724198635387612549291345786645879213436927851159486372872531964
209680000000740005010000060005090804108060070000000000400900200002000000987000400,279685341836741925514239768625197834198463572743528619451976283362854197987312456
040000000050087003080030060000068000430710800002000050000143600000000030005076040,643521987259687413187439562591268374436715829872394156728143695964852731315976248
004800300801003000030620000005070240040000018006000075600000000000302080000400002,294817356861593724537624891985176243742935618316248975628751439459362187173489562
010890200080001030500000100039260000200003600008040000901036000300902050000400000,713895246482671539596324187139268475247153698658749312971536824364982751825417963
001005008070009060000000000709080000800010705006090000057020600020001050000003809,691275348273849561485136972749582136832614795516397284957428613328961457164753829
004900000000107003006000107400006030109723406007400001000000000200079004000380002,714938625592167843836542197425816739189723456367495281643251978258679314971384562
000012079016005000000000305005000000860030000000000506002600093009000700300780002,538412679916375284427968315195246837864537921273891546782654193649123758351789462
807000490000000000940008506006000700000105608530900100600000004001760000000000000,827653491165497283943218576216384759794125638538976142679532814481769325352841967
000070040050204000200806001160005000002017800000000000000000300043700058600053000,386571942751294683294836571169485237432617895875329416527148369943762158618953724
000280000000060070080014602103006000060400300028091006000000000030040001701000800,674283195312965478985714632193576284567428319428391756856132947239847561741659823
000300010009000004001000200800500000105008073700430980000100000200800531000000820,452389716689217354371645298893576142145928673726431985938152467267894531514763829
002000600580300000100000020008701060000000009213080000005000000900002708000697500,342179685586324971179865324498751263657243819213986457725438196964512738831697542
308490000051000002000000060000000001024300090000805400000060003010000000600000548,368492157451673982297581364586947231724316895139825476945268713813754629672139548
980600000000080032312000700000090600200400109000000020001008003000060010090004807,987623541456781932312945786135892674268437159749156328621578493874369215593214867
079032086000006030003094000300000069085600200900200850700000000508000000000000002,179532486254786931863194725327458169485619273916273854742965318598321647631847592
000000026000000104000020050020607000000008240004001003402070605016000080708400000,149785326285963174673124859321647598567398241894251763432879615916532487758416932
300480090000000000401000003040090201809003005000500069020960050005200000030000006,357486192682319574491752683546897231819623745273541869124968357765234918938175426
902030700000014200107600000000400056000001040005000170501309420006000010000000005,942538761658714239137692584219473856763851942485926173571369428896245317324187695
700008009060203700000600000002460080340007900008059024020000005090700000000082000,734518269165293748289674531952461387341827956678359124427136895893745612516982473
000890000400001060030000027023900000000237000100004000004309000006040700008000003,762893145459721368831456927623918574945237816187564239274389651396145782518672493
000105000500006080020900600060009000009000200280300000000008003800071006000500009,976185342534726981128943657465219738319857264287364195752698413893471526641532879
950000803000000000106400900000308005000050006008601300000080009000190064000507100,952716843437829651186435927629348715713952486548671392361284579875193264294567138
000078090010400820000000000001060000020000080486037000000706000003000002048900100,254378691617459823839612475971865234325194786486237519192746358763581942548923167
000000000005032040070000300007200903030009600026700000001056000000040510060300000,613475892895632741274198365157264983438519627926783154741856239382947516569321478
904000085100060000260405100000009013000620000090341020600000000000030800000500309,974213685135768294268495137426859713351627948897341526683972451549136872712584369
010092006000008000690000840000210069070000000000000700000300018002009430000804027,318492576427658193695731842584217369976543281231986754749325618862179435153864927
006000200800006510000013700000061400103820000008005001720000060041000007005000000,516789234837246519294513786952361478173824695468975321729458163341692857685137942
001007095050903200030800070002000050900000030000000008000010040703200000010308000,861427395457963281239851674382196457976584132145732968528619743793245816614378529
002800000508040000030006810000000321007000006005020000000103070000275400000000080,762819534518342697439756812846597321127438956395621748654183279981275463273964185
060087000080000000000600039003018007000030006400009080700005600010000090000900105,964387512385291764271654839693418257158732946427569381739145628512876493846923175
003000000070800004000090100700305000001000000004028905008000007010930500052400300,293514786175863294846792153729345861581679432364128975938251647417936528652487319
000000005000040300000005260000900080860000100209006450900500040000024601002060000,421638975695247318783195264354912786867453129219786453936571842578324691142869537
080005001000046890067000000001009020000080006000000000000054009508907100042100070,289735641315246897467891532851679423724583916693412758176354289538927164942168375
007000090030010000800020000200000080000006201180072053000050600300008000502361800,627843195439615728851927364275139486943586271186472953718254639364798512592361847
000386000000000604050290000000063100000902000260540000083059006005000403040000089,427386951398175624156294837579863142834912765261547398783459216915628473642731589
300400010008070000000300406000580600700600100000000070000090003645000090010000700,359468217468271935271359486134587629792634158586912374827196543645723891913845762
409000000000100000500000000000060040900705810080000070800640000102800900075902100,419586732327194658568273491751368249934725816286419375893641527142857963675932184
408500100020000000700090804690000010012946000000001000006000000870002400000800076,468527193923184567751693824694738215512946738387251649136475982879362451245819376
000080039205007010003010780000890004090000070402000000048000000700000000500004200,174286539285937416963415782357891624896542371412763895648329157721658943539174268
600080001300700020000000830000500013030000076000301400060000507000020040084015000,629483751318759624475162839847596213531248976296371485162834597953627148784915362
000050008000790400507200300000001003008070040000040000309000050040900027100005800,914653278263798415587214396492561783658372941731849562329187654845936127176425839
400058002890006051000000900010400690002005007080609005500072000600800000000000000,471958362893246751256713984315427698962185437784639125549372816627891543138564279
400080019730045800020310000008000070000000290002000004080000740007000100003100082,465782319731945826829316457358429671674531298912678534186293745297854163543167982
002000840309010060400560001004106000100200080900034000500041300000603000000050000,612379845359418267478562931234186759167295483985734126596841372741623598823957614
090008046065140280008500109000050000081020000356000002009080000040010000003000460,192738546765149283438562179274651938981327654356894712519486327647213895823975461
700002460000000002030000050041070800803000040065030001000020300000000006010008700,789512463154763982632489157241976835873251649965834271497625318328147596516398724
010029800040030092000001003005007020000400070370190005500000000090003000032004000,613729854748536192259841763485367921921485376376192485564918237197253648832674519
096800030020004600300000008705930000060405079000000002240083560003000000600000000,496821735528374691371596248715932486862415379934768152249183567183657924657249813
020000003000400005800000200003201006400800000005000040000706020060002037100050068,924578613631429785857163294793241856416895372285637149349786521568912437172354968
091704200002900000500003000200600190007000600006009520040090000000100003609005000,391754286462981375578263419254637198917528634836419527143896752785142963629375841
300000080000003001000000079000005000100604000040801006034057100090400050080000760,317946582952783641468512379826395417179624835543871926634257198791468253285139764
604800200300020801000009700087090100900000307000000000000007006000030480001608000,674813259395724861128569734487396125962185347513472698839247516756931482241658973
000107000085000000000006000900000200051090007604005001000070086000002040100450070,426187539785239614319546728978614253251893467634725891542971386897362145163458972
029000008005208010000000000000080002000004000007003500500400809001802050930075100,329517648765248913814369275153786492286954731497123586572431869641892357938675124
004005089900301000000000400000000156010000208000000040000200000402980005008056000,164725389987341562523698471249837156715469238836512947651274893472983615398156724
090040000006008020840910000030004280200000790004000000060002000000000036709601000,593247618176358429842916573637194285215863794984725361361482957428579136759631842
050090106000500080000006900500000017000004800000810090020700400060100000900040020,852397146649521783713486952584963217196274835237815694321759468468132579975648321
000900020509007000000860000056001900200700051000080070100040065060000240002000097,673914528589327614421865739756431982238796451914582376197243865865179243342658197
100700000237091008890005006000000000000900007000582690500016000000000023000000800,165748932237691458894325176942167385658934217371582694583216749416879523729453861
000007000109300000080000000061800030030002400700000960024100600000003207000009080,456987123179325846283416579561894732938762451742531968324178695895643217617259384
009007400012050007000000003085000030000005071000004000050401008020000000870003045,539187426412356897768249153185792634246835971397614582953421768624578319871963245
103070020090000800000100094000300709048001000200006400000008076000030000610000000,183479625492563817756182394561324789948751263237896451324918576879635142615247938
005090004004200000000010000002000407007009080800005029041050002000000000090073100,625398714134267598789514236962831457457629381813745629341956872576182943298473165
000190000070500640453000000000007250000006007100000003700001000060000309000040002,826194735971523648453768921689317254532486197147952863795231486264875319318649572
010006200000030070070009036000002000000017003000500720040050000790004100032600000,913476258864235971275189436357842619426917583189563724641758392798324165532691847
074300060600050087290000300500030000000000020006400970000002600003070000050000000,874321569631954287295786314519237846748695123326418975987542631163879452452163798
003071000000024070170090800000000780061000003002006000800000000300010040009000002,243871569598624371176395824935142786461758293782936415814263957327519648659487132
680000502000010000000206970050002000900048000014500208720451000000000000509700000,683974512297315846145286973856132497972648351314597268728451639431869725569723184
000009760000201049900700002720940003410007090006003000040000301000000070060000080,132489765675231849984765132728946513413527698596813427249678351851394276367152984
900060000438590600000800004007400500000030000010076000000300000056780000304000900,972164385438597621165823794627418539849235167513976248791342856256789413384651972
504000701039000000000002009090100000000460300000200060006000003250000017001006420,524693781839517246167842539692135874715468392348279165486721953253984617971356428
070002018000086500009050600000670005040095007006200190000000080000020001427000000,675432918314986572289157634893671425142395867756248193531764289968523741427819356
000903600400001030002600105065100009000000000800400000008254001000069020300000000,157923684486571932932648175765132849294786513813495267678254391541369728329817456
900400635000000040407360000000000052002090000003000760029000016070005000000001400,981472635236159847457368129648713952712596384593284761329847516174635298865921473
000005602900001003000304700760000000000000009031060020090000000013400000407003000,374895612982671543156324798769248351245137869831569427598716234613482975427953186
